session_id,user_id,session_date,country,device_type,subscription_plan,content_id,content_title,content_genre,watch_minutes,ad_impressions,ad_clicks,ad_completions,ad_revenue
S00001,U0642,2/5/2026,US,Mobile,Ad Supported,C0090,Bridgerton,Drama,90,5,1,4,0.206
S00002,U1213,2/1/2026,BR,TV,Ad Supported,C0146,One Piece,Action,133,5,2,3,0.1409
S00003,U1203,2/24/2026,CA,Tablet,Ad Supported,C0144,The Night Agent,Action,44,2,0,1,0.0859
S00004,U1220,2/22/2026,AU,TV,Ad Supported,C0061,Boyfriend on Demand,Comedy,58,2,2,0,0.0647
S00005,U1235,1/31/2026,AU,TV,Ad Supported,C0064,The Dinosaurs,Documentary,54,2,1,0,0.0586
S00006,U0912,1/21/2026,US,Tablet,Ad Supported,C0066,War Machine,Action,33,3,2,3,0.0722
S00007,U0858,1/12/2026,US,Web,Ad Supported,C0146,Jurassic World Rebirth,Action,30,2,1,0,0.0717
S00008,U1040,1/18/2026,CA,Mobile,Ad Supported,C0077,Age of Attraction,Reality,10,1,0,1,0.0378
S00009,U0896,2/19/2026,US,TV,Ad Supported,C0004,The Night Agent,Action,158,6,2,6,0.2523
S00010,U0201,3/10/2026,CA,Tablet,Ad Supported,C0049,Jurassic World Rebirth,Action,80,3,1,1,0.0709
S00011,U0154,1/23/2026,UK,TV,Ad Supported,C0016,Boyfriend on Demand,Comedy,75,3,0,2,0.0698
S00012,U1755,3/8/2026,CA,Web,Ad Supported,C0142,KPop Demon Hunters,Action,88,6,0,5,0.153
S00013,U1186,1/21/2026,AU,Mobile,Ad Supported,C0138,Trap House,Action,79,5,2,3,0.1435
S00014,U0096,1/31/2026,BR,Mobile,Ad Supported,C0004,Boyfriend on Demand,Comedy,13,1,1,0,0.0436
S00015,U1778,2/17/2026,US,TV,Ad Supported,C0030,A Man on the Inside,Comedy,60,3,2,2,0.0642
S00016,U2299,3/9/2026,BR,Mobile,Ad Supported,C0107,Tires,Comedy,45,1,0,1,0.0282
S00017,U1875,3/7/2026,CA,Mobile,Ad Supported,C0099,Inside Job,Comedy,26,2,0,1,0.051
S00018,U2182,2/9/2026,US,Mobile,Ad Supported,C0030,Delicious in Dungeon,Action,109,6,1,5,0.2266
S00019,U1981,2/8/2026,US,Web,Ad Supported,C0119,Ranma 1/2,Comedy,114,3,2,1,0.067
S00020,U1671,2/22/2026,BR,Mobile,Ad Supported,C0054,Trap House,Action,73,3,0,3,0.1344
S00021,U1000,1/16/2026,AU,TV,Ad Supported,C017,Sakamoto Days,Action,43,4,0,4,0.1094
S00022,U0307,1/20/2026,US,TV,Ad Supported,C0106,Magic and Muscles,Drama,152,7,2,5,0.1388
S00023,U1514,2/3/2026,US,TV,Ad Supported,C0057,The Dinosaurs,Documentary,137,6,2,5,0.2091
S00024,U2029,2/7/2026,US,Mobile,Ad Supported,C0052,Emily in Paris,Reality,114,3,0,2,0.1084
S00025,U0981,2/6/2026,US,TV,Ad Supported,C0022,The Ranch,Comedy,99,4,0,3,0.1382
S00026,U2007,1/22/2026,US,TV,Ad Supported,C0040,Inside Job,Comedy,134,8,2,8,0.3004
S00027,U0146,2/28/2026,UK,Mobile,Ad Supported,C0096,The Night Agent,Action,59,1,1,1,0.0316
S00028,U0500,1/31/2026,US,TV,Ad Supported,C0058,Emily in Paris,Reality,168,7,0,5,0.1713
S00029,U2331,2/6/2026,CA,Tablet,Ad Supported,C0078,BoJack Horseman,Comedy,84,6,1,6,0.252
S00030,U0253,1/20/2026,BR,TV,Ad Supported,C0118,Seinfeld,Reality,66,4,2,4,0.1626
S00031,U2436,1/31/2026,BR,Web,Ad Supported,C0006,Seinfeld,Reality,140,5,0,3,0.1347
S00032,U2258,2/22/2026,US,TV,Ad Supported,C0133,Brooklyn Nine-Nine,Reality,90,6,1,4,0.0964
S00033,U1669,3/12/2026,US,TV,Ad Supported,C0049,The Dinosaurs,Documentary,147,8,2,7,0.2452
S00034,U2222,1/13/2026,US,TV,Ad Supported,C0088,Ranma 1/2,Comedy,47,1,0,0,0.0162
S00035,U0366,3/7/2026,AU,TV,Ad Supported,C0015,Atypical,Kids,42,4,2,3,0.1024
S00036,U0771,2/12/2026,UK,TV,Ad Supported,C0115,Ranma 1/2,Comedy,98,3,0,2,0.0884
S00037,U1502,1/19/2026,US,TV,Ad Supported,C0010,The Dinosaurs,Documentary,75,5,0,3,0.2083
S00038,U1999,3/7/2026,US,TV,Ad Supported,C017,Sakamoto Days,Action,62,5,1,5,0.1671
S00039,U0636,2/1/2026,US,TV,Ad Supported,C0032,Tires,Comedy,87,4,2,4,0.089
S00040,U1801,3/11/2026,BR,TV,Ad Supported,C0033,Trap House,Action,68,3,0,2,0.0841
S00041,U0187,2/9/2026,CA,TV,Ad Supported,C0002,The Diplomat,Comedy,47,1,1,0,0.0166
S00042,U1626,2/25/2026,UK,TV,Ad Supported,C0044,Tires,Comedy,145,5,0,5,0.0837
S00043,U2482,2/17/2026,US,TV,Ad Supported,C0123,War Machine,Action,76,4,2,2,0.0638
S00044,U1888,1/17/2026,US,Mobile,Ad Supported,C0110,Magic and Muscles,Drama,110,6,0,5,0.1258
S00045,U1785,2/8/2026,US,Web,Ad Supported,C0033,Queen of Tears,Action,110,6,0,4,0.1444
S00046,U2423,1/19/2026,US,TV,Ad Supported,C0144,Trap House,Action,36,4,0,4,0.1235
S00047,U0498,2/12/2026,CA,Mobile,Ad Supported,C0141,Beef,Action,39,2,2,1,0.0327
S00048,U1391,2/7/2026,US,Web,Ad Supported,C0048,Boyfriend on Demand,Comedy,87,5,0,5,0.2213
S00049,U0014,1/12/2026,US,TV,Ad Supported,C0085,Boyfriend on Demand,Comedy,99,4,0,4,0.1542
S00050,U1956,3/7/2026,CA,Mobile,Ad Supported,C0055,Ranma 1/2,Comedy,98,4,0,4,0.1172
S00051,U0695,2/22/2026,US,TV,Ad Supported,C0134,Ranma 1/2,Comedy,148,8,0,8,0.2453
S00052,U2174,3/11/2026,BR,Mobile,Ad Supported,C0032,Queen of Tears,Action,73,5,2,5,0.1112
S00053,U1212,3/12/2026,BR,Mobile,Ad Supported,C017,Sakamoto Days,Action,24,3,2,1,0.0755
S00054,U1231,2/25/2026,US,TV,Ad Supported,C0089,Jurassic World Rebirth,Action,46,3,1,1,0.1094
S00055,U1143,2/5/2026,CA,Mobile,Ad Supported,C0049,One Piece,Action,108,6,0,4,0.2608
S00056,U0016,2/2/2026,CA,TV,Ad Supported,C0074,Emily in Paris,Reality,37,2,2,1,0.0714
S00057,U0340,2/24/2026,US,Mobile,Ad Supported,C0001,Emily in Paris,Reality,20,4,1,2,0.1204
S00058,U0168,1/16/2026,US,Web,Ad Supported,C0098,Inside Job,Comedy,74,3,0,2,0.1232
S00059,U2358,1/22/2026,US,TV,Ad Supported,C0136,Tires,Comedy,86,3,0,2,0.08
S00060,U0191,2/18/2026,US,Tablet,Ad Supported,C0147,Delicious in Dungeon,Action,82,4,1,4,0.0687
S00061,U0203,2/8/2026,US,Mobile,Ad Supported,C0113,The Diplomat,Comedy,99,6,0,5,0.1548
S00062,U1001,1/29/2026,UK,TV,Ad Supported,C0102,The Dinosaurs,Documentary,148,7,2,5,0.1889
S00063,U2141,1/30/2026,US,TV,Ad Supported,C0081,The Ranch,Comedy,91,4,0,4,0.1223
S00064,U0668,2/1/2026,US,TV,Ad Supported,C0105,Trap House,Action,169,6,0,6,0.266
S00065,U0863,1/17/2026,AU,Web,Ad Supported,C0140,BoJack Horseman,Comedy,46,3,2,2,0.1242
S00066,U2320,1/23/2026,CA,Mobile,Ad Supported,C0098,Queen of Tears,Action,81,6,2,6,0.2548
S00067,U1742,3/9/2026,BR,Tablet,Ad Supported,C0017,The Ranch,Comedy,66,6,2,6,0.2591
S00068,U1598,1/16/2026,US,TV,Ad Supported,C0069,BoJack Horseman,Comedy,116,6,2,6,0.1535
S00069,U1855,2/18/2026,UK,Web,Ad Supported,C0133,Magic and Muscles,Drama,110,4,0,2,0.1198
S00070,U0905,2/19/2026,UK,TV,Ad Supported,C0061,The Dinosaurs,Documentary,156,5,2,4,0.1018
S00071,U2495,3/2/2026,AU,Mobile,Ad Supported,C0140,Emily in Paris,Reality,73,3,0,2,0.1197
S00072,U1652,2/14/2026,US,TV,Ad Supported,C0061,Seinfeld,Reality,26,3,1,1,0.1191
S00073,U1763,1/24/2026,US,TV,Ad Supported,C0075,Tires,Comedy,41,1,1,1,0.0272
S00074,U0925,3/5/2026,US,Mobile,Ad Supported,C0136,A Man on the Inside,Comedy,117,3,0,1,0.0606
S00075,U2273,3/13/2026,UK,TV,Ad Supported,C0033,The Dinosaurs,Documentary,52,1,0,0,0.0387
S00076,U2445,2/12/2026,AU,TV,Ad Supported,C0069,The Night Agent,Action,102,4,1,3,0.1256
S00077,U2424,2/6/2026,US,TV,Ad Supported,C0011,Brooklyn Nine-Nine,Reality,42,2,0,2,0.0891
S00078,U0575,1/30/2026,US,Web,Ad Supported,C0080,Supacell,Action,86,4,0,2,0.159
S00079,U1165,2/7/2026,BR,TV,Ad Supported,C0106,Emily in Paris,Reality,86,3,1,3,0.0729
S00080,U1678,1/21/2026,US,TV,Ad Supported,C0133,Emily in Paris,Reality,128,7,1,5,0.1872
S00081,U0994,2/18/2026,CA,Web,Ad Supported,C0080,Bridgerton,Drama,115,3,2,3,0.0582
S00082,U2369,1/30/2026,US,TV,Ad Supported,C0008,War Machine,Action,137,5,1,4,0.1451
S00083,U1842,1/23/2026,US,TV,Ad Supported,C0035,Supacell,Action,33,3,2,3,0.061
S00084,U0885,1/25/2026,CA,TV,Ad Supported,C0129,Emily in Paris,Reality,149,6,0,5,0.1115
S00085,U2008,2/23/2026,US,Mobile,Ad Supported,C0060,Magic and Muscles,Drama,23,1,1,0,0.0448
S00086,U0564,3/6/2026,CA,Mobile,Ad Supported,C0111,The Ranch,Comedy,101,4,2,2,0.1342
S00087,U0007,1/30/2026,US,Web,Ad Supported,C0036,KPop Demon Hunters,Action,33,1,1,0,0.0197
S00088,U0138,1/14/2026,US,Mobile,Ad Supported,C0080,Emily in Paris,Reality,115,4,1,3,0.1746
S00089,U1259,1/16/2026,US,TV,Ad Supported,C0130,Seinfeld,Reality,48,4,0,3,0.1297
S00090,U1137,1/24/2026,US,TV,Ad Supported,C0070,Ranma 1/2,Comedy,178,7,1,6,0.3139
S00091,U0155,2/11/2026,AU,Mobile,Ad Supported,C0130,The Diplomat,Comedy,81,3,2,1,0.1192
S00092,U0846,2/15/2026,BR,TV,Ad Supported,C0067,The Dinosaurs,Documentary,53,2,0,0,0.0727
S00093,U0954,2/7/2026,US,TV,Ad Supported,C0056,A Man on the Inside,Comedy,133,5,1,5,0.2077
S00094,U1737,3/13/2026,UK,TV,Ad Supported,C0126,Magic and Muscles,Drama,80,4,0,2,0.1148
S00095,U1899,1/31/2026,UK,Mobile,Ad Supported,C0019,Brooklyn Nine-Nine,Reality,15,0,0,0,0
S00096,U0820,2/28/2026,US,TV,Ad Supported,C0002,Derry Girls,Kids,85,5,2,5,0.1819
S00097,U1249,2/6/2026,BR,TV,Ad Supported,C0148,One Piece,Action,178,7,1,6,0.2904
S00098,U0175,2/15/2026,CA,TV,Ad Supported,C0122,The Ranch,Comedy,168,6,1,6,0.1569
S00099,U0374,3/4/2026,US,Mobile,Ad Supported,C0017,Magic and Muscles,Drama,48,4,0,3,0.1276
S00100,U1471,2/8/2026,US,TV,Ad Supported,C0024,Derry Girls,Kids,96,6,2,4,0.2051
S00101,U0397,3/1/2026,US,Tablet,Ad Supported,C0146,Lupin,Documentary,40,4,2,4,0.18
S00102,U1331,2/11/2026,BR,Mobile,Ad Supported,C0042,Jurassic World Rebirth,Action,22,3,2,1,0.0797
S00103,U0531,1/19/2026,CA,TV,Ad Supported,C0027,Supacell,Action,96,3,1,2,0.1266
S00104,U1928,2/10/2026,US,TV,Ad Supported,C0066,The Ranch,Comedy,76,6,0,5,0.2451
S00105,U1647,3/13/2026,CA,TV,Ad Supported,C0032,Vladimir,Comedy,114,4,0,4,0.1296
S00106,U1313,2/24/2026,UK,Mobile,Ad Supported,C0023,Seinfeld,Reality,88,6,2,5,0.2481
S00107,U1695,3/6/2026,AU,Mobile,Ad Supported,C0135,Emily in Paris,Reality,45,4,2,3,0.1297
S00108,U0169,2/1/2026,US,TV,Ad Supported,C0002,BoJack Horseman,Comedy,150,8,0,8,0.1766
S00109,U0128,1/30/2026,US,Mobile,Ad Supported,C017,Sakamoto Days,Action,23,1,1,1,0.0174
S00110,U2243,1/27/2026,BR,Tablet,Ad Supported,C0116,Supacell,Action,18,0,0,0,0
S00111,U1514,2/15/2026,US,TV,Ad Supported,C0055,Ranma 1/2,Comedy,85,5,2,4,0.1437
S00112,U2211,2/5/2026,CA,Mobile,Ad Supported,C017,Sakamoto Days,Action,62,5,0,5,0.0991
S00113,U0196,2/3/2026,US,TV,Ad Supported,C0114,A Man on the Inside,Comedy,161,7,1,7,0.2261
S00114,U1224,2/4/2026,US,TV,Ad Supported,C0001,Emily in Paris,Reality,171,5,1,3,0.2112
S00115,U1420,1/24/2026,BR,TV,Ad Supported,C0061,Brooklyn Nine-Nine,Reality,120,5,1,3,0.2112
S00116,U0411,1/15/2026,US,Web,Ad Supported,C0144,The Diplomat,Comedy,110,3,1,3,0.1238
S00117,U0841,3/4/2026,BR,TV,Ad Supported,C0111,The Diplomat,Comedy,56,2,1,1,0.0851
